# version: 1.99.99
# building: Home
# level: Ground
# zone: Living
time,ta,tg,rh,as,mrt,co2,lux,pm25,tvoc,nox,laeq,la90,la10
2026-09-10 23:50:00,22.94,23.31,53.4,0.061,23.62,591,288,3.4,105,1,38.9,33.4,43.2
2026-09-10 23:55:00,22.96,23.40,53.1,0.052,23.76,584,305,2.8,106,1,36.8,31.5,41.0
2026-09-11 00:00:00,23.02,23.46,52.7,0.056,23.79,577,318,3.2,106,1,38.1,32.8,42.4
2026-09-11 00:05:00,23.13,23.66,52.9,0.058,24.02,561,301,3.5,104,1,37.3,32.2,41.7
2026-09-11 00:10:00,23.17,23.72,52.4,0.049,24.12,550,327,2.6,107,1,37.7,32.5,42.1
2026-09-11 00:15:00,23.15,23.69,52.7,0.056,24.04,nan,320,3.6,104,1,36.5,31.2,41.0
2026-09-11 00:20:00,23.20,23.79,52.3,0.053,24.16,nan,340,3.8,102,1,37.9,32.4,42.6
2026-09-11 00:25:00,23.24,23.83,52.5,0.052,24.19,nan,348,3.5,100,1,36.6,31.1,40.9
2026-09-11 00:30:00,23.28,23.89,52.1,0.051,24.28,nan,367,3.3,103,1,37.8,32.3,42.2
2026-09-11 00:35:00,23.38,24.03,52.1,0.044,24.45,nan,398,3.7,101,1,37.1,31.7,41.4
2026-09-11 00:40:00,23.35,24.02,52.0,0.051,24.42,516,373,2.7,102,1,37.3,31.7,41.8
2026-09-11 00:45:00,23.43,24.10,52.1,0.044,24.54,506,378,3.1,99,1,35.7,30.1,40.2
2026-09-11 00:50:00,23.47,24.11,51.9,0.053,24.53,503,400,2.7,100,1,35.6,29.9,40.4
2026-09-11 00:55:00,23.52,24.21,51.8,0.049,24.63,501,427,2.6,99,1,36.8,31.6,41.6
2026-09-11 01:00:00,23.56,24.24,52.0,0.053,24.65,498,426,3.1,102,1,37.4,32.2,42.0
2026-09-11 01:05:00,23.59,24.26,51.9,0.048,24.64,495,432,3.5,105,1,36.4,31.1,41.0
2026-09-11 01:10:00,23.61,24.31,51.7,0.050,24.70,492,404,3.4,105,1,36.6,31.3,41.5
2026-09-11 01:15:00,23.63,24.28,51.7,0.049,24.66,483,429,3.1,107,1,37.5,32.0,42.2
2026-09-11 01:20:00,23.66,-nan,51.9,nan,nan,478,416,2.7,107,1,36.6,31.4,41.4
2026-09-11 01:25:00,23.74,-nan,51.6,nan,nan,472,424,3.3,104,1,36.6,31.1,41.4
2026-09-11 01:30:00,23.79,-nan,51.5,nan,nan,463,435,2.9,105,1,37.3,31.6,41.6
2026-09-11 01:35:00,23.78,24.45,51.8,0.041,24.82,455,431,3.3,106,1,36.9,31.7,41.8
2026-09-11 01:40:00,23.83,24.51,51.6,0.040,24.88,454,420,2.9,107,1,36.2,30.9,40.8
2026-09-11 01:45:00,23.86,24.57,51.6,0.050,25.02,447,449,2.7,109,1,36.4,31.1,41.3
2026-09-11 01:50:00,23.87,24.57,51.7,0.050,25.02,447,424,3.4,109,1,37.3,32.0,42.0
2026-09-11 01:55:00,23.89,24.61,51.7,0.053,25.04,451,460,3.6,107,1,36.2,30.5,40.7
2026-09-11 02:30:00,24.10,24.80,51.2,0.049,25.20,439,417,3.2,108,1,36.4,30.9,40.9
2026-09-11 02:35:00,24.13,24.81,51.3,0.047,25.23,440,435,3.6,110,1,35.9,30.6,40.7
2026-09-11 02:40:00,24.19,24.88,51.3,0.052,25.27,447,408,2.8,111,1,37.0,31.5,41.4
2026-09-11 02:45:00,24.21,24.90,51.5,0.039,25.31,449,408,3.4,107,1,37.5,32.4,41.9
2026-09-11 02:50:00,24.20,24.92,51.3,0.048,25.33,443,396,3.2,104,1,36.5,31.2,40.9
2026-09-11 02:55:00,24.20,24.88,51.4,0.053,25.32,438,437,3.1,101,1,37.1,31.6,41.7
2026-09-11 03:00:00,24.25,24.94,51.3,0.037,25.37,443,407,3.5,99,1,36.3,30.7,40.7
2026-09-11 03:05:00,24.27,24.94,51.4,0.050,25.35,448,400,3.3,100,1,36.5,31.4,41.3
2026-09-11 03:10:00,24.27,24.99,51.4,0.049,25.44,447,418,3.4,103,1,37.1,31.9,41.7
2026-09-11 03:15:00,24.32,25.00,51.2,0.045,25.37,444,400,2.8,104,1,37.6,32.3,42.1
2026-09-11 03:20:00,24.33,25.04,51.2,0.043,25.49,447,401,3.8,105,1,35.4,30.0,40.1
2026-09-11 03:25:00,24.32,25.01,51.0,0.040,25.42,441,401,3.2,103,1,36.5,31.4,41.2
2026-09-11 03:30:00,24.39,25.10,51.3,0.038,25.53,445,396,2.7,100,1,36.4,30.8,41.0
2026-09-11 03:35:00,24.38,25.05,51.4,0.044,25.46,446,357,3.4,100,1,36.6,31.1,41.4
2026-09-11 03:40:00,24.37,25.04,51.1,0.038,25.42,450,380,3.5,99,1,35.4,30.3,40.3
2026-09-11 03:45:00,24.37,25.09,51.1,0.045,25.55,446,375,3.4,100,1,36.4,31.3,41.2
