# version: 1.99.99
# building: Home
# level: Ground
# zone: Living
time,ta,tg,rh,as,mrt,co2,lux,pm25,tvoc,nox,laeq,la90,la10
2026-09-11 07:55:00,23.80,24.27,50.6,0.072,24.55,693,141,3.6,109,1,42.6,37.1,47.0
2026-09-11 08:00:00,23.77,24.23,50.6,0.084,24.50,703,135,3.1,106,1,41.9,36.6,46.0
2026-09-11 08:05:00,23.76,24.24,50.9,0.070,24.58,715,126,3.1,103,1,41.5,36.1,45.7
2026-09-11 08:10:00,23.80,24.23,50.8,0.082,24.49,718,126,3.7,104,1,40.7,35.3,45.4
2026-09-11 08:15:00,24.20,24.67,54.5,0.139,24.97,744,118,4.0,170,4,47.2,41.9,51.7
2026-09-11 08:20:00,24.11,24.58,54.7,0.141,24.86,764,132,4.2,215,4,47.2,41.6,51.8
2026-09-11 08:25:00,24.09,24.53,54.7,0.143,24.78,783,117,5.6,243,4,48.1,42.6,52.9
2026-09-11 08:30:00,24.08,24.56,54.8,0.136,24.87,806,116,7.5,260,4,46.5,40.9,50.8
2026-09-11 08:35:00,24.04,24.50,55.1,0.149,24.79,815,130,10.2,273,4,47.2,41.6,51.7
2026-09-11 08:40:00,24.05,24.51,54.9,0.148,24.82,825,132,13.7,281,4,47.9,42.4,52.5
2026-09-11 08:45:00,24.04,24.47,55.0,0.137,24.75,842,132,20.9,286,4,46.1,40.7,51.0
2026-09-11 08:50:00,24.31,24.7
