Altium Designer Pick and Place Locations
C:\Users\Kryptica\Documents\SAMBA\Samba_2\Samba2_Lantern\Released Documents\Fabrication Outputs\Pick Place\Pick Place for Lantern_REV_B3(Lantern_REV_B3 manuf).csv

========================================================================================================================
File Design Information:

Date:       13-11-24
Time:       21:42
Revision:   Not in VersionControl
Variant:    Lantern_REV_B3 manuf
Units used: mm

"Designator","Comment","Layer","Footprint","Center-X(mm)","Center-Y(mm)","Rotation","Description","ComponentKind","Variation"
"J6","GSB1CA11101DSHR","TopLayer","GSB1CA11101DSHR-Footprint-1","39.8220mm","15.1398mm","0","USB2.0, Type C, Vertical, Height 6.40mm, Dual Row Surface Mount","Standard","Fitted"
"C25","CL21B106KOQNNNE","TopLayer","FP-CL21B106KOQNNNE-IPC_A","27.4738mm","35.9000mm","180","Ceramic Capacitor, Multilayer, Ceramic, 16V, 10% +Tol, 10% -Tol, X7R, 15% TC, 10uF, Surface Mount, 0805","Standard","Fitted"
"C24","CL21B106KOQNNNE","TopLayer","FP-CL21B106KOQNNNE-IPC_A","26.7000mm","44.0000mm","180","Ceramic Capacitor, Multilayer, Ceramic, 16V, 10% +Tol, 10% -Tol, X7R, 15% TC, 10uF, Surface Mount, 0805","Standard","Fitted"
"U14","LDL212PU50R","TopLayer","FP-DFN6-7946637-MFG","12.0517mm","34.5280mm","270","Fixed Positive LDO Regulator, 5V, 0.6V Dropout","Standard","Fitted"
"U13","74LVC1T45W6-7","BottomLayer","SOT95P285X130-6N","19.6000mm","76.1000mm","180","Bus Transceiver, LVC/LCX/Z Series, 1-Func, 1-Bit, True Output, CMOS, PDSO6","Standard","Fitted"
"U12","1655","TopLayer","ADA-RGB-1655_V","20.8000mm","79.5000mm","0","WS2812B 5050 RGB LED WITH INTEGRATED DRIVER CHIP PACK OF 10","Standard","Fitted"
"C40","GRM21BZ71A226ME15L","TopLayer","FP-GRM21B-0_2-e0_2_0_7-MFG","22.7000mm","47.8000mm","180","Ceramic Capacitor, Multilayer, Ceramic, 10V, 20% +Tol, 20% -Tol, X7R, 15% TC, 22uF, Surface Mount, 0805","Standard","Not Fitted"
"C39","Capacitor 4.7µF +/-20% 10V 0603","TopLayer","MANUF_CAP_0603","11.9000mm","38.5000mm","180","Chip Capacitor, 4.7µF +/-20%, 10V, 0603, Thickness 1 mm","Standard","Fitted"
"C38","CL10B105KA8NFNC","TopLayer","MANUF_CAP_0603","8.8000mm","33.1000mm","0","Ceramic Capacitor, Multilayer, Ceramic, 25V, 10% +Tol, 10% -Tol, X7R, 15% TC, 1uF, Surface Mount, 0603","Standard","Fitted"
"C37","C0805C102K2GEC7800","TopLayer","0805","5.4000mm","46.4160mm","270","ESD SMD Comm C0G 0805 (2012Metric) Ceramic Capacitor 0.079Lx0.049W 2.00mmx1.25mm C0G NP0 ±10% 1000pF","Standard","Fitted"
"C36","CC0603KRX7R7BB104","BottomLayer","MANUF_CAP_0603","23.0000mm","76.7000mm","270","Ceramic Capacitor, Multilayer, Ceramic, 16V, 10% +Tol, 10% -Tol, X7R, 15% TC, 0.1uF, Surface Mount, 0603","Standard","Fitted"
"C35","CC0603KRX7R7BB104","TopLayer","MANUF_CAP_0603","19.8000mm","84.0000mm","0","Ceramic Capacitor, Multilayer, Ceramic, 16V, 10% +Tol, 10% -Tol, X7R, 15% TC, 0.1uF, Surface Mount, 0603","Standard","Fitted"
"BAT1","BU1632SM-JJ-GTR","BottomLayer","BU1632SM-JJ-GTR-Footprint-1","6.8000mm","39.7000mm","270","battery holder cr1632","Standard","Fitted"
"U8","TPS54427DRCR","TopLayer","SON50P300X100_HS-11N","16.8937mm","23.6795mm","180","Switching Regulator, Current-mode, 4A, 650kHz Switching Freq-Max, PDSO10","Standard","Fitted"
"U11","TCA9509DGKR","BottomLayer","TSOP65P490X110-8N","11.2000mm","84.8000mm","90","Interface Circuit, PDSO8","Standard","Fitted"
"R44","RC0805JR-075K1L","BottomLayer","0805","8.1000mm","93.8000mm","180","Fixed Resistor, Metal Glaze/thick Film, 0.125W, 5100ohm, 150V, 5% +/-Tol, 100ppm/Cel, Surface Mount, 0805","Standard","Fitted"
"R43","RC0805JR-075K1L","BottomLayer","0805","8.1000mm","91.6000mm","180","Fixed Resistor, Metal Glaze/thick Film, 0.125W, 5100ohm, 150V, 5% +/-Tol, 100ppm/Cel, Surface Mount, 0805","Standard","Fitted"
"R33","RC0603FR-0710KL","BottomLayer","MANUF_RES_0603","8.2000mm","87.0000mm","0","Fixed Resistor, Metal Glaze/thick Film, 0.1W, 10000ohm, 75V, 1% +/-Tol, 100ppm/Cel, Surface Mount, 0603","Standard","Fitted"
"C34","CC0603KRX7R7BB104","BottomLayer","MANUF_CAP_0603","14.6000mm","82.6000mm","180","Ceramic Capacitor, Multilayer, Ceramic, 16V, 10% +Tol, 10% -Tol, X7R, 15% TC, 0.1uF, Surface Mount, 0603","Standard","Fitted"
"C33","CC0603KRX7R7BB104","BottomLayer","MANUF_CAP_0603","13.9000mm","87.8000mm","270","Ceramic Capacitor, Multilayer, Ceramic, 16V, 10% +Tol, 10% -Tol, X7R, 15% TC, 0.1uF, Surface Mount, 0603","Standard","Fitted"
"C32","CC0603KRX7R7BB104","BottomLayer","MANUF_CAP_0603","32.0000mm","104.1000mm","180","Ceramic Capacitor, Multilayer, Ceramic, 16V, 10% +Tol, 10% -Tol, X7R, 15% TC, 0.1uF, Surface Mount, 0603","Standard","Fitted"
"U10","CP2102N-A02-GQFN28","TopLayer","FP-CP2102N-A02-GQFN28-MFG","41.5828mm","32.4997mm","90","USB Bus Controller, CMOS","Standard","Fitted"
"U4","OPT3001DNPR","BottomLayer","FP-DNP0006A-MFG","27.5000mm","130.9000mm","180","Analog Circuit, 1 Func, 1 Channel, PDSO6","Standard","Fitted"
