Altium Designer Pick and Place Locations
C:\Users\Kryptica\Documents\SAMBA\Samba_2\Samba2_Remote\Release Documents\Pick and Place\Pick Place for Remote Rev B3(Samba2_Remote B3 Manuf).csv

========================================================================================================================
File Design Information:

Date:       13-10-24
Time:       22:09
Revision:   Not in VersionControl
Variant:    Samba2_Remote B3 Manuf
Units used: mm

"Designator","Comment","Layer","Footprint","Center-X(mm)","Center-Y(mm)","Rotation","Description"
"C1","CL10B105KA8NFNC","TopLayer","MANUF_CAP_0603","71.6667mm","20.2816mm","270","Ceramic Capacitor, Multilayer, Ceramic, 25V, 10% +Tol, 10% -Tol, X7R, 15% TC, 1uF, Surface Mount, 0603"
"D4","ESD9B5.0ST5G","TopLayer","ONSC-SOD-923-2-514AB-01_V","41.0609mm","7.1066mm","0","Trans Voltage Suppressor Diode, 5V V(RWM), Bidirectional, 1 Element, Silicon"
"U5","TCA9509DGKR","BottomLayer","TSOP65P490X110-8N","20.7823mm","17.7496mm","0","Interface Circuit, PDSO8"
"R46","RMCF0603FT110R","BottomLayer","MANUF_RES_0603","61.8109mm","15.7566mm","135","Fixed Resistor, Metal Glaze/thick Film, 0.1W, 110ohm, 75V, 1% +/-Tol, 100ppm/Cel, Surface Mount, 0603"
"R48","ERJ-3EKF5900V","BottomLayer","MANUF_RES_0603","62.9359mm","13.4316mm","45","Fixed Resistor, Metal Glaze/thick Film, 0.1W, 590ohm, 75V, 1% +/-Tol, 100ppm/Cel, Surface Mount, 0603"
"R44","ERJ-3EKF5900V","BottomLayer","MANUF_RES_0603","60.3359mm","20.4816mm","180","Fixed Resistor, Metal Glaze/thick Film, 0.1W, 590ohm, 75V, 1% +/-Tol, 100ppm/Cel, Surface Mount, 0603"
"R43","ERJ-3EKF5900V","BottomLayer","MANUF_RES_0603","60.3109mm","18.1316mm","180","Fixed Resistor, Metal Glaze/thick Film, 0.1W, 590ohm, 75V, 1% +/-Tol, 100ppm/Cel, Surface Mount, 0603"
"U11","LMV321WG-7","TopLayer","SOT95P285X130-5N","42.7770mm","44.2510mm","90","Operational Amplifier, 1 Func, 9000uV Offset-Max, CMOS, PDSO5"
"C24","CC0603KRX7R7BB104","TopLayer","MANUF_CAP_0603","40.9270mm","39.3260mm","180","Ceramic Capacitor, Multilayer, Ceramic, 16V, 10% +Tol, 10% -Tol, X7R, 15% TC, 0.1uF, Surface Mount, 0603"
"R8","RC0603FR-0710KL","TopLayer","MANUF_RES_0603","68.1359mm","28.2316mm","90","Fixed Resistor, Metal Glaze/thick Film, 0.1W, 10000ohm, 75V, 1% +/-Tol, 100ppm/Cel, Surface Mount, 0603"
"Q2","FMMT493TA","TopLayer","SOT95P237X110-3N","79.3609mm","27.0316mm","0","Small Signal Bipolar Transistor, 1A I(C), 100V V(BR)CEO, 1-Element, NPN, Silicon"
"U10","LD39200PU33R","BottomLayer","FP-DFN6-7946637-MFG","18.6109mm","25.8566mm","0","Fixed Positive LDO Regulator, 3.3V, 0.25V Dropout"
"U9","PCA9615DPZ","BottomLayer","TSSOP50P490X110-10N","67.3609mm","19.8816mm","180","IC Redriver I2C 2CH 10TSSOP"
"U7","ADS1115IDGSR","TopLayer","FP-DGS0010A-MFG","64.7859mm","9.1316mm","180","ADC, Delta-Sigma, 16-Bit, 1 Func, 4 Channel, Serial Access, PDSO10"
"U4","LMV321WG-7","TopLayer","SOT95P285X130-5N","42.7020mm","36.4760mm","90","Operational Amplifier, 1 Func, 9000uV Offset-Max, CMOS, PDSO5"
"U3","TL974IPW","TopLayer","TSOP65P640X120-14N","15.1359mm","28.1066mm","0","Operational Amplifier, 4 Func, 6000uV Offset-Max, BIPolar, PDSO14"
"U1","TL974IPW","TopLayer","TSOP65P640X120-14N","64.5020mm","21.9760mm","270","Operational Amplifier, 4 Func, 6000uV Offset-Max, BIPolar, PDSO14"
"R50","CRM1206-FX-R910ELF","TopLayer","RESC3116X06N","29.1359mm","10.8816mm","270","Fixed Resistor, Metal Glaze/thick Film, 0.5W, 0.91ohm, 0.675V, 1% +/-Tol, 100ppm/Cel, Surface Mount, 1206"
